explantion_name,ground_truth,original_prediction_i,img_i,trial_i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
random,7,7,0,0,0.99991655,0.9999145,0.99991,0.99991155,0.9998505,0.99989045,0.99988127,0.99989414,0.9998987,0.99982834,0.99982196,0.9998062,0.99981326,0.9998105,0.99980134,0.99976486,0.99968934,0.9996904,0.99967706,0.9994166,0.99933136,0.9993357,0.9993562,0.9706777,0.98138225,0.9886568,0.9798544,0.31693703,0.34277865,0.08974456,0.14054742,0.06300486,0.06377256,0.049134355,0.05703053,0.034542616,0.047290463,0.032876365,0.03760195,0.21610188,0.06005404,0.21026857,0.20501617,0.021392124,0.0013890639,0.0026736723,0.002869313,0.0038934369,0.0021267843,0.001983368,0.002291998,0.001657147,0.00200649,0.0035988113,0.0028636626,0.0014507824,0.0010533069,0.0010461839,0.0011704004,0.0005286823,0.00148603,0.001144139,0.0006002163,0.0005981501,0.0005443846,0.0003913367,0.0005616673,0.00049255125,0.00042579317,0.0022592002,0.00210496,0.0017404285,0.002308469,0.0022779421,0.0029294777,0.002048925,0.003583725,0.003549515,0.0033074308,0.0028715245,0.0065555186,0.022628175,0.016845858,0.05140084,0.07596259,0.011852443,0.00939973,0.010757446,0.019792704,0.011156233,0.0074947374,0.0042741834,0.012878631,0.015417953,0.013423756,0.011956375,0.0064497283,0.015567756,0.018043049,0.014404634,0.031221379
random,7,7,1,0,0.9998448,0.9998449,0.9998467,0.999856,0.99985147,0.99986553,0.99986184,0.99986804,0.9998586,0.9998578,0.99984133,0.9998393,0.9998559,0.9998561,0.9998491,0.9998585,0.9998714,0.9998691,0.99983525,0.9998311,0.99982387,0.9998078,0.9997402,0.9997898,0.9997733,0.9997346,0.9997546,0.99975127,0.99974173,0.99975985,0.99976367,0.9997992,0.9998123,0.99980015,0.99896145,0.9990339,0.99892384,0.9990639,0.99921834,0.9993536,0.9995555,0.99951875,0.9994666,0.99945956,0.99939275,0.9994628,0.99947196,0.99945086,0.99945813,0.99947256,0.99952364,0.9996326,0.9996338,0.9996462,0.99970585,0.99970466,0.99969316,0.99967444,0.9996406,0.9996331,0.9995229,0.9995234,0.99954516,0.9995647,0.9995943,0.9995865,0.9994054,0.9981558,0.9987368,0.9988186,0.99769044,0.99765307,0.99736184,0.9973289,0.99761355,0.9971552,0.99715155,0.99642724,0.99683124,0.9965708,0.99566406,0.99792886,0.99799997,0.9960388,0.99622774,0.99619746,0.99547666,0.9970016,0.99923193,0.99847454,0.9989371,0.9986333,0.9987556,0.9987747,0.99843293,0.9983613,0.99854445,0.99846834,0.99825114,0.99779296,0.9981042
random,7,7,2,0,0.9998871,0.999899,0.9998975,0.99991536,0.99991393,0.9999058,0.9998971,0.9998983,0.9998982,0.9998987,0.9998956,0.9998857,0.9998716,0.99986565,0.9998599,0.99984443,0.9998456,0.9998448,0.99984705,0.99985504,0.9998456,0.9998517,0.9998617,0.99986386,0.9998677,0.9998456,0.999851,0.9998474,0.9998504,0.9998447,0.99977106,0.99966526,0.9996741,0.9997516,0.9997477,0.99974054,0.99962246,0.9996619,0.9996674,0.9995747,0.999627,0.9996488,0.9996674,0.99970883,0.99973065,0.9997446,0.99971515,0.9997454,0.99974364,0.99971145,0.9997056,0.99969566,0.9997694,0.99970824,0.9995597,0.9991774,0.99948454,0.9994978,0.999569,0.999567,0.9995969,0.99969673,0.9997738,0.9997656,0.9997613,0.999759,0.99975806,0.9996742,0.9997316,0.9996921,0.9996227,0.9996408,0.9996094,0.9993918,0.9994198,0.9994106,0.999342,0.9992938,0.99922645,0.9992347,0.9991866,0.9992938,0.9990114,0.9990079,0.9986572,0.99855393,0.9979431,0.99825567,0.99434656,0.98115015,0.989273,0.9645898,0.9605154,0.9444267,0.92462456,0.9377148,0.93124586,0.9687575,0.9770997,0.9778946,0.97968584
random,7,7,3,0,0.9998704,0.9998629,0.9998667,0.9998678,0.99986804,0.9998678,0.9998709,0.9998708,0.99985397,0.99985504,0.99984896,0.99981695,0.9998091,0.99979,0.99979085,0.9997931,0.99978215,0.99978715,0.9997851,0.9997956,0.99980897,0.9998117,0.9998191,0.9997718,0.9997291,0.9997249,0.9997018,0.99971443,0.9997223,0.9997116,0.999479,0.99947685,0.99949145,0.9995745,0.9995797,0.9996648,0.9996811,0.99968123,0.99968696,0.9996855,0.9996934,0.99963,0.9996394,0.9996263,0.999426,0.99951875,0.9995653,0.99955624,0.99948454,0.9994579,0.99938786,0.9994661,0.9994764,0.9995851,0.9995602,0.9995455,0.99949753,0.99947363,0.999424,0.9993814,0.999328,0.99907255,0.9992835,0.9992086,0.9992743,0.9992213,0.9992654,0.99914765,0.99868923,0.9988808,0.9983012,0.99789834,0.99832016,0.99803,0.99758184,0.9978356,0.9962366,0.99524766,0.99511397,0.9949473,0.9947201,0.99358094,0.99256974,0.9935336,0.9865544,0.9831224,0.9778115,0.97557753,0.9790796,0.9681511,0.9670004,0.9407647,0.9687678,0.9686452,0.97120684,0.9560204,0.968212,0.9646447,0.9520285,0.9572641,0.8868144
random,7,7,4,0,0.9999051,0.9999049,0.9999044,0.9999014,0.9999027,0.9999057,0.99990666,0.99992085,0.99992955,0.99992645,0.99992394,0.9999237,0.9999238,0.9999236,0.9999198,0.9999094,0.9999094,0.9998913,0.9998869,0.99988353,0.9997918,0.999345,0.99922323,0.9994018,0.9994072,0.9993249,0.9996369,0.9996693,0.9996799,0.9995937,0.9997328,0.9996712,0.9994898,0.99953234,0.9996321,0.9994311,0.99925596,0.9984394,0.9979479,0.9970203,0.99650806,0.99163824,0.99431205,0.9946219,0.99774015,0.998209,0.99814475,0.9979462,0.99852544,0.99580586,0.99491465,0.9946985,0.9965964,0.99910873,0.9993574,0.9995559,0.99964976,0.9998035,0.99979526,0.99979216,0.9997811,0.9998479,0.9998512,0.99983144,0.99983,0.99983215,0.9998621,0.9998666,0.99986184,0.99986553,0.9998772,0.9998796,0.99988043,0.99987936,0.99985695,0.9998566,0.99986553,0.9998697,0.9998764,0.9998807,0.99987996,0.99988115,0.99988174,0.99988747,0.9998857,0.9998833,0.9998869,0.9998884,0.9998902,0.9998851,0.9998677,0.9998771,0.9998696,0.9998642,0.9998621,0.9998548,0.99982953,0.9998511,0.9998447,0.99981755,0.9996062
random,7,7,5,0,0.9999093,0.99991083,0.9999089,0.9999032,0.9999151,0.99991643,0.99991834,0.9999207,0.99992,0.99992037,0.9999099,0.9999157,0.9998971,0.99988794,0.9998876,0.9999062,0.99990463,0.99989164,0.9998851,0.99987006,0.99986196,0.99987173,0.9998716,0.9998627,0.99985874,0.9998609,0.9998616,0.9998561,0.9998388,0.9998461,0.9998534,0.9998418,0.9998356,0.99983656,0.99980825,0.9998062,0.9998348,0.9998248,0.99983144,0.9998024,0.9997503,0.9997178,0.9997048,0.99970585,0.9997012,0.9997067,0.9997094,0.9996768,0.99967563,0.9996673,0.9997172,0.99928457,0.9995653,0.99949515,0.9995074,0.99934465,0.9992536,0.99926525,0.99859506,0.9985613,0.99876785,0.99883944,0.9989785,0.9979176,0.9979399,0.99770856,0.9972692,0.99703825,0.99751484,0.9973194,0.9974147,0.9972656,0.9975321,0.9972134,0.99635625,0.99774843,0.99747545,0.9965463,0.99642193,0.9957658,0.99620384,0.99621934,0.99651235,0.9974565,0.9970661,0.9750504,0.9565004,0.9206538,0.9399409,0.90967786,0.6633955,0.5815655,0.5140536,0.52362144,0.1835423,0.25994554,0.54492724,0.47470775,0.4146072,0.435684,0.37115648
random,7,7,6,0,0.9998921,0.9998921,0.9998894,0.9998896,0.9998783,0.99988186,0.999876,0.99987936,0.9998777,0.99987316,0.99987507,0.9999039,0.9999056,0.9999187,0.9999224,0.9999193,0.9999113,0.99990904,0.99990976,0.9999049,0.99989474,0.999902,0.9999006,0.999894,0.9998963,0.9998938,0.9999006,0.99991024,0.9999106,0.9999093,0.9999089,0.999907,0.9999063,0.99990594,0.99990165,0.9998957,0.9998975,0.9999083,0.9999124,0.9999126,0.9999201,0.9999194,0.9999201,0.99991846,0.9999182,0.99991894,0.99992025,0.9999144,0.99991953,0.9999205,0.99992394,0.9999268,0.99992657,0.999928,0.9999049,0.99990237,0.99987566,0.99988437,0.99986506,0.99986994,0.9998735,0.9998816,0.9998305,0.99983144,0.99982244,0.9998512,0.9998696,0.9998692,0.99986696,0.9998685,0.9998666,0.99985695,0.9998098,0.9998068,0.99983096,0.9998024,0.9998055,0.99978405,0.9997925,0.9998004,0.9997799,0.9998098,0.99983644,0.99983954,0.99982965,0.9998273,0.9998473,0.9998468,0.9998435,0.99983823,0.99978346,0.99979335,0.99972624,0.9997527,0.9996637,0.9997336,0.99971133,0.99966085,0.9996132,0.99966145,0.9996131
random,7,7,7,0,0.9998435,0.99978894,0.99978703,0.9997923,0.999793,0.9997693,0.99979204,0.9998369,0.9998356,0.99978215,0.99977833,0.99977344,0.9997658,0.9997211,0.9997551,0.9997565,0.99984205,0.9998024,0.99980503,0.9998456,0.99984884,0.9998448,0.99984586,0.9998336,0.9998343,0.99983716,0.99978954,0.9997981,0.99980193,0.9997851,0.999645,0.9996227,0.9996507,0.9996561,0.9996824,0.9996344,0.99972063,0.99972147,0.99971503,0.9997111,0.99973685,0.99972457,0.99974257,0.9997441,0.99975544,0.99973804,0.99973935,0.9997689,0.99973196,0.99977034,0.99976784,0.9997756,0.9997602,0.9997496,0.9997646,0.99976486,0.9997008,0.999637,0.9995596,0.99952984,0.9995609,0.9995993,0.9995629,0.9995121,0.9994997,0.99943227,0.99947697,0.99926454,0.9985738,0.9990252,0.9980709,0.99832743,0.9960737,0.9967906,0.9971438,0.9766921,0.97699076,0.98221725,0.97942364,0.9416308,0.96388596,0.87651116,0.8733189,0.89190537,0.98497206,0.97635263,0.97563124,0.97579455,0.98581946,0.9865828,0.9533273,0.9534002,0.9619265,0.9286819,0.9371806,0.9271629,0.9103129,0.9407124,0.9182528,0.79240084,0.267655
random,7,7,8,0,0.9998597,0.9998541,0.99983823,0.99985135,0.9998154,0.99975425,0.99975556,0.9997534,0.99978584,0.9997844,0.9997247,0.9997181,0.9997317,0.99973077,0.99969256,0.9996138,0.99961495,0.99958414,0.9995266,0.9994899,0.9995322,0.99951494,0.9995345,0.9994803,0.9994802,0.9994772,0.9994862,0.9994562,0.99938834,0.9993955,0.9993413,0.9993851,0.99869376,0.99818784,0.9981026,0.99795914,0.99808145,0.9980698,0.99760485,0.99522394,0.99522287,0.9966084,0.99751353,0.9976139,0.9976472,0.99741083,0.9973832,0.99750143,0.9977187,0.99787676,0.996012,0.9969187,0.99500483,0.9939751,0.992572,0.99809295,0.99822825,0.9974376,0.9981388,0.9956096,0.9883166,0.9919378,0.849525,0.93388605,0.7846786,0.8149302,0.824134,0.9923685,0.99362576,0.9906984,0.9959908,0.9955859,0.99504155,0.98560876,0.98077214,0.97994494,0.9919785,0.9927047,0.99306726,0.99219006,0.9921674,0.993554,0.9957765,0.9940929,0.98771566,0.9912731,0.98293304,0.98254114,0.9857501,0.9851093,0.99139494,0.9914437,0.997529,0.99683183,0.991381,0.9904051,0.9875238,0.98605376,0.9856651,0.96666044,0.96018034
random,7,7,9,0,0.9999211,0.99992096,0.99992335,0.9999231,0.99993455,0.9999329,0.9999312,0.99993086,0.99993455,0.9999354,0.99993336,0.9999269,0.99992573,0.99992573,0.99991965,0.9999182,0.99991846,0.9999223,0.9999213,0.9999213,0.99992204,0.99991953,0.99991906,0.9999194,0.99991786,0.999918,0.9999151,0.99991477,0.9999144,0.99991834,0.9999176,0.9999155,0.9999149,0.99991417,0.99991405,0.99991417,0.99991786,0.9999181,0.99991643,0.99991655,0.99991596,0.9999181,0.99991834,0.9999194,0.99991953,0.99991655,0.9999143,0.999913,0.9999137,0.99991715,0.9999182,0.99991775,0.99991477,0.9999176,0.99991393,0.9999156,0.9999143,0.99991584,0.9999131,0.9998965,0.9998965,0.99989545,0.9998894,0.99988997,0.99989235,0.9998927,0.99989474,0.99989104,0.99989176,0.9998932,0.9998846,0.99987483,0.999876,0.9998778,0.99987376,0.99987125,0.9998604,0.9998609,0.9998491,0.9998461,0.99983096,0.99982685,0.9998233,0.99982613,0.999806,0.99980396,0.9998091,0.9998031,0.99980694,0.9997925,0.9997924,0.9997904,0.9997825,0.99977714,0.9997775,0.999772,0.9997851,0.99978286,0.9997807,0.9997739,0.99975806
random,7,7,10,0,0.999899,0.9998987,0.99990594,0.99990404,0.999913,0.9999145,0.99990857,0.99991095,0.9999058,0.9999039,0.9998752,0.99987316,0.9998745,0.9998777,0.99987423,0.9998735,0.9998714,0.99986386,0.9998683,0.99985313,0.9998524,0.99981695,0.99979204,0.9997843,0.9997702,0.9997625,0.99976104,0.99974126,0.99973613,0.9997186,0.9997162,0.9997471,0.9997285,0.9997389,0.9997062,0.9996724,0.99966216,0.99968493,0.9996898,0.99967635,0.9996259,0.9996146,0.99960595,0.9995529,0.9993236,0.9991036,0.99912685,0.9990551,0.99887353,0.9983224,0.9980433,0.9976628,0.9972595,0.99752945,0.9942152,0.9875208,0.99252105,0.98824674,0.9460122,0.7795654,0.7205642,0.70906144,0.7909673,0.8326932,0.6832581,0.5882611,0.54486156,0.5708646,0.5714097,0.3544361,0.28813183,0.2645248,0.108740315,0.12590834,0.06322825,0.0650384,0.084331505,0.10302573,0.05532542,0.058878366,0.13268828,0.11071651,0.12295415,0.086047366,0.09360722,0.09236666,0.08850316,0.07431271,0.13857166,0.13756536,0.13199705,0.0817882,0.09665071,0.11029509,0.12522781,0.44844788,0.50688356,0.33914658,0.38208112,0.5690646,0.7342033
random,7,7,11,0,0.99993956,0.9999347,0.99993587,0.9999349,0.9999347,0.9999337,0.99993503,0.9999341,0.9999361,0.99993217,0.99993205,0.9999299,0.9999312,0.99992967,0.9999292,0.9999292,0.9999292,0.99993074,0.99993277,0.9999304,0.9999291,0.9999242,0.99992645,0.99992704,0.9999249,0.9999244,0.9999223,0.9999206,0.9999243,0.999923,0.9999229,0.9999175,0.99991894,0.99991786,0.9999187,0.9999181,0.9999161,0.9999175,0.99991965,0.99991953,0.9999182,0.999918,0.9999083,0.9999105,0.9999093,0.99990475,0.99990404,0.99987364,0.99986017,0.99986184,0.9998665,0.9998585,0.99983597,0.9997032,0.9996871,0.99963,0.9994481,0.9993327,0.999298,0.99931157,0.99946886,0.9995977,0.9995665,0.9995455,0.9995764,0.9995801,0.9996001,0.9996172,0.99960023,0.99961865,0.9996778,0.99979955,0.99978846,0.99981886,0.99979645,0.999796,0.9997956,0.99979,0.99979633,0.99978465,0.99978036,0.99978167,0.9997931,0.9997657,0.99970007,0.9996915,0.99971443,0.9997389,0.9997582,0.99972683,0.9997718,0.9997081,0.99972767,0.99972683,0.99969757,0.9996972,0.9995018,0.9994892,0.9994758,0.9993925,0.9993457
random,7,7,12,0,0.9999193,0.9999161,0.99991333,0.99990404,0.9999051,0.9998988,0.9998933,0.9998859,0.99988544,0.9998853,0.9998878,0.99988043,0.99988234,0.99987566,0.9998746,0.9998764,0.99987507,0.9998776,0.9998876,0.99989593,0.9998938,0.99989986,0.9999151,0.99991524,0.9999161,0.9999201,0.9999213,0.99992025,0.9999198,0.99991286,0.9999131,0.9999143,0.9999149,0.9999126,0.9999094,0.9999106,0.9999119,0.99991715,0.99991894,0.99992216,0.999925,0.9999263,0.999907,0.9999068,0.9999069,0.9999182,0.9999193,0.9999161,0.99991524,0.9999194,0.99992335,0.99992347,0.9999224,0.99992216,0.99992156,0.9999212,0.9999231,0.99991536,0.9999119,0.99991107,0.99991107,0.99990976,0.9999056,0.999902,0.99989986,0.9999008,0.99990416,0.9999064,0.9999068,0.999913,0.99991083,0.99991596,0.9999169,0.9999155,0.9999057,0.99990404,0.9999062,0.9999057,0.99990666,0.9999105,0.9999107,0.99991,0.9999051,0.9999087,0.9999074,0.9998994,0.99989986,0.99989974,0.99989283,0.99989045,0.9998839,0.9998827,0.999889,0.99988973,0.9998795,0.9998834,0.9998908,0.99988914,0.9998889,0.99988973,0.99988663
