explantion_name,ground_truth,original_prediction_i,img_i,trial_i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
random,7,7,0,0,0.99991655,0.99991083,0.99993026,0.9999317,0.9999294,0.999881,0.9998795,0.9998801,0.99988186,0.9998708,0.9998425,0.99985075,0.9998535,0.99985063,0.9998455,0.99978,0.9997776,0.99976724,0.9997706,0.9997359,0.9993436,0.9993556,0.999345,0.9991942,0.99929404,0.9991726,0.99916375,0.9992692,0.99926335,0.99925333,0.99950945,0.99951124,0.9996984,0.9996952,0.999616,0.999653,0.9996526,0.9994511,0.99934536,0.9991208,0.9990727,0.9992514,0.99873954,0.9986461,0.99867564,0.9989687,0.9991497,0.9990464,0.9991061,0.99905866,0.9990403,0.99907446,0.9990637,0.997832,0.9977227,0.99700254,0.99214256,0.99175984,0.9911408,0.9884398,0.9959966,0.9797967,0.9864205,0.99552995,0.9704982,0.97810876,0.9849803,0.94625485,0.93966466,0.88117814,0.8683381,0.7106419,0.8937169,0.7886596,0.8831973,0.8587763,0.8382476,0.8556675,0.83345234,0.015476198,0.011949438,0.004293536,0.0106388675,0.0039811768,0.0063348073,0.006730215,0.005391382,0.0049550096,0.004613702,0.0047065406,0.0065100817,0.010957553,0.0056519,0.018671015,0.013809956,0.012959655,0.020210443,0.041506235,0.050209112,0.053835228,0.06375442
random,7,7,1,0,0.9998448,0.99985325,0.9998524,0.99985886,0.99982977,0.9998354,0.9998393,0.99985147,0.99984443,0.999841,0.9998456,0.99976295,0.9997681,0.9997714,0.999818,0.99981385,0.9998167,0.99980634,0.9997867,0.9998062,0.9998004,0.9997849,0.99977845,0.9997969,0.9998405,0.99983597,0.9998221,0.9998018,0.9998091,0.99981064,0.9998049,0.999765,0.999746,0.9997762,0.99926275,0.99929976,0.9992624,0.9992737,0.99926263,0.9993092,0.99935275,0.9992181,0.99934727,0.9993474,0.9993327,0.9993436,0.9993654,0.9993156,0.9993243,0.99929225,0.99929357,0.999595,0.9995622,0.9995567,0.999463,0.9994307,0.9995388,0.9994307,0.9993461,0.9993519,0.99932206,0.9995535,0.99962914,0.999529,0.99948066,0.9996816,0.9996556,0.9995449,0.99934274,0.999495,0.9995326,0.9993855,0.9993499,0.99944836,0.99940705,0.9994118,0.99897385,0.9989537,0.9988003,0.9987968,0.99851876,0.99851435,0.99817944,0.9967855,0.9968209,0.9972721,0.9972887,0.99733895,0.99732816,0.9973316,0.9956656,0.9901744,0.99571264,0.99607205,0.99692684,0.9908015,0.9849467,0.9799197,0.97933996,0.9810246,0.9918554
random,7,7,2,0,0.9998871,0.9998809,0.99987924,0.99985766,0.9998579,0.9998815,0.99988043,0.99988127,0.99988425,0.9998827,0.99987054,0.9998747,0.9998745,0.999853,0.9998273,0.99980015,0.9997706,0.9997769,0.999701,0.9996234,0.99923205,0.99957675,0.99973124,0.999739,0.99973506,0.99968576,0.99971575,0.9997297,0.9997142,0.9996774,0.99968576,0.99967825,0.9996612,0.99945563,0.99964225,0.99963,0.9996593,0.9996537,0.9996768,0.99970967,0.9996922,0.99972135,0.9996611,0.99965894,0.9996698,0.9996019,0.9993799,0.99947613,0.9994129,0.9995596,0.9995338,0.9995684,0.9991918,0.99893767,0.9994331,0.9993549,0.9991333,0.9992392,0.99920624,0.99936074,0.99934775,0.9992574,0.9996308,0.9996427,0.99966705,0.9997271,0.9997609,0.99975294,0.99974996,0.99976534,0.9997576,0.999681,0.9997327,0.99972576,0.99965596,0.999627,0.99960095,0.9996468,0.9996283,0.9996613,0.9996111,0.9995739,0.9994542,0.99948823,0.99953365,0.99953353,0.99951136,0.9995179,0.99947816,0.9995148,0.9995028,0.9994199,0.9994487,0.9994671,0.99943346,0.99938035,0.99914324,0.9993718,0.9992866,0.99929726,0.99928635
random,7,7,3,0,0.9998704,0.9998479,0.99985087,0.9998516,0.999861,0.9998636,0.99986565,0.99986684,0.99985564,0.99987125,0.9998672,0.9998635,0.99985933,0.9998771,0.99986374,0.9998641,0.9998536,0.99986076,0.9998497,0.9998529,0.9998585,0.99985635,0.9998555,0.99984956,0.99984586,0.99982977,0.99982905,0.99980825,0.99980384,0.99979657,0.99962246,0.9996227,0.9995684,0.99965215,0.99958974,0.9995828,0.99954504,0.99955565,0.9994673,0.9994591,0.9994568,0.99950314,0.9995771,0.9995053,0.99945813,0.9996277,0.99967086,0.9996153,0.99966776,0.99966383,0.99968004,0.9995498,0.99955386,0.9994867,0.9994992,0.9994276,0.99938715,0.9983375,0.998317,0.9989666,0.99922156,0.9993001,0.99871445,0.9986051,0.9982476,0.99814963,0.9983323,0.99837637,0.99833053,0.9980469,0.9980584,0.99792373,0.9961992,0.9944746,0.99431497,0.996555,0.99703765,0.99615353,0.9956371,0.99531806,0.9962941,0.9942702,0.99499595,0.994288,0.9938736,0.9919051,0.99038774,0.9915623,0.97769475,0.928759,0.918867,0.8177758,0.8234401,0.37571475,0.37797132,0.3277397,0.3127061,0.33601573,0.42265138,0.5656311,0.44128433
random,7,7,4,0,0.9999051,0.9999008,0.99990785,0.99990726,0.9999088,0.9999076,0.9999063,0.9998846,0.9998777,0.9998814,0.99988794,0.99989915,0.99990666,0.9998957,0.9998963,0.99990034,0.99989986,0.9998963,0.9999076,0.99990165,0.99990106,0.9999002,0.9999,0.99991584,0.9999163,0.9999188,0.9999157,0.9999163,0.99991286,0.9999176,0.9999194,0.9999161,0.9999144,0.99991286,0.9999187,0.9999225,0.99992263,0.99992275,0.9999206,0.999923,0.99992394,0.99992406,0.9999206,0.999918,0.99992,0.9999125,0.99991155,0.9999114,0.9999237,0.99992394,0.9999248,0.9999237,0.9999201,0.9999163,0.99990976,0.99990606,0.9999025,0.9999043,0.99990153,0.99990284,0.99990356,0.99990666,0.9999106,0.99990034,0.9998994,0.9998932,0.9998895,0.99990463,0.99988556,0.9998678,0.99986815,0.9998553,0.9998599,0.99985087,0.9998541,0.9998528,0.9997993,0.99942636,0.9998042,0.9998242,0.99978644,0.9997373,0.9997465,0.9997403,0.999713,0.999754,0.9997054,0.9997204,0.9997063,0.99970144,0.99968445,0.9997521,0.99971443,0.9996766,0.9996227,0.99968326,0.99959296,0.9996536,0.9996716,0.99974185,0.9997036
random,7,7,5,0,0.9999093,0.9999125,0.99990416,0.99990857,0.9999175,0.99992514,0.9999114,0.9999058,0.99989474,0.9998982,0.9998982,0.9998716,0.99987733,0.99987674,0.9998634,0.99987435,0.9998661,0.9998512,0.99985754,0.9998627,0.99983716,0.99984646,0.99971217,0.9998246,0.9998154,0.9998215,0.9998627,0.9998696,0.99986374,0.99984825,0.99982774,0.99982494,0.99973565,0.99973935,0.99969745,0.9997124,0.99968636,0.99965894,0.99968135,0.9996544,0.99952555,0.9994636,0.9994367,0.99969065,0.9996306,0.99962866,0.9997068,0.9995808,0.99962306,0.9997389,0.9997055,0.9997081,0.99967396,0.99967015,0.9996774,0.9997402,0.99973947,0.99973375,0.99974257,0.99973506,0.99973804,0.9997036,0.9997812,0.9997131,0.99973613,0.999775,0.9998035,0.9997787,0.9997967,0.99980813,0.9998142,0.9998166,0.999777,0.99975413,0.99975866,0.999678,0.99968815,0.99968874,0.99959105,0.9996716,0.99953604,0.9992211,0.99720746,0.9904942,0.99364686,0.9814286,0.9790633,0.977257,0.82526183,0.43132722,0.39898732,0.53136283,0.59442955,0.54026973,0.6122455,0.80115783,0.8614705,0.8104529,0.81615967,0.8651425,0.70979655
random,7,7,6,0,0.9998921,0.9998896,0.9998859,0.9998919,0.99986327,0.99985206,0.99984825,0.9998392,0.9998543,0.99988663,0.9998828,0.99989057,0.9998889,0.9998841,0.9998853,0.99989474,0.9998858,0.9998826,0.9998871,0.9998882,0.9998714,0.9998116,0.999803,0.9997931,0.99978787,0.9997789,0.9997876,0.9998037,0.9997348,0.99971694,0.9996824,0.9996432,0.9997352,0.9997342,0.99980384,0.9998418,0.9998084,0.9998355,0.9998342,0.9998229,0.99980646,0.9998209,0.9998062,0.99978536,0.9997713,0.9998198,0.9998185,0.99978524,0.9997925,0.99977964,0.999783,0.9997893,0.99979144,0.9998338,0.9998196,0.9998265,0.99980897,0.99981326,0.999803,0.9998184,0.9998406,0.99981624,0.99983513,0.9998603,0.9998596,0.99986255,0.99985886,0.9998692,0.999869,0.9998617,0.99986315,0.999861,0.99985933,0.99986744,0.99987066,0.9998543,0.9998511,0.99984634,0.9998474,0.9998343,0.99983764,0.9996693,0.99972075,0.9997292,0.99975306,0.9997347,0.9996996,0.99973196,0.9996724,0.99967694,0.99940574,0.99943393,0.9990213,0.9989157,0.9984493,0.9984273,0.99828607,0.9975189,0.9970579,0.9971744,0.99817824
random,7,7,7,0,0.9998435,0.9998671,0.9998814,0.9998919,0.9998729,0.9998797,0.99987674,0.99987805,0.999879,0.99984753,0.9998456,0.99986005,0.99983466,0.9998385,0.9998555,0.9998572,0.9998516,0.9998317,0.9998441,0.99984324,0.99984217,0.99983764,0.99983513,0.99968636,0.99968004,0.9996898,0.99966884,0.9997731,0.9997737,0.9997638,0.99975854,0.9997514,0.9997925,0.99979085,0.9998022,0.99977964,0.99974996,0.9998097,0.99980205,0.99980086,0.9998029,0.9998042,0.99979824,0.99979466,0.9997917,0.99976665,0.9994593,0.9995179,0.99952376,0.99927527,0.99933976,0.9990995,0.9933477,0.99001724,0.990991,0.992652,0.9935102,0.9878884,0.9895488,0.992172,0.9883869,0.9813985,0.9795122,0.98240006,0.9835851,0.9705723,0.8259528,0.82679725,0.7414524,0.64927465,0.64162606,0.608433,0.8001957,0.8675858,0.8626103,0.8027408,0.74454373,0.7491219,0.73220116,0.8132448,0.73559743,0.8632094,0.7460242,0.72380286,0.6624022,0.23832843,0.49726376,0.7446855,0.667689,0.66621304,0.70839506,0.17284329,0.15055189,0.10454241,0.05571976,0.07008815,0.027889758,0.025835436,0.013834935,0.017805863,0.018321617
random,7,7,8,0,0.9998597,0.9998454,0.99985707,0.9998524,0.999835,0.9996604,0.99968255,0.9997079,0.99974316,0.99975187,0.9997516,0.9997595,0.99974173,0.9997563,0.9997811,0.99981266,0.9997726,0.99977535,0.99975175,0.9996946,0.99972063,0.9997075,0.9997044,0.9997166,0.99968874,0.9996624,0.99953115,0.9995264,0.9996679,0.9996728,0.9996741,0.9996439,0.9996401,0.9995628,0.9996679,0.9996836,0.99950755,0.99919707,0.9992817,0.99924314,0.99942976,0.999387,0.9991571,0.9992889,0.99919456,0.99908745,0.9982621,0.99745995,0.99825007,0.9985656,0.9987141,0.99833316,0.9978441,0.9988954,0.999033,0.9990677,0.99880743,0.9987582,0.9995921,0.999589,0.99955755,0.99955016,0.9995284,0.9993594,0.99932444,0.9993175,0.99914646,0.9988715,0.9986272,0.99859434,0.9986651,0.9986656,0.99880505,0.9991109,0.99900335,0.9989557,0.99891067,0.99849427,0.9979752,0.9985701,0.999119,0.9993987,0.99929726,0.9994911,0.999198,0.99919206,0.9980909,0.99824727,0.999003,0.9990964,0.9991535,0.99912566,0.99762195,0.9971137,0.997391,0.997787,0.99478996,0.9961274,0.9968725,0.9952748,0.99926525
random,7,7,9,0,0.9999211,0.99992096,0.9999268,0.99992716,0.9999269,0.99992514,0.9999237,0.9999219,0.99991214,0.9999118,0.9999113,0.99991035,0.9999027,0.9998995,0.99990606,0.9998964,0.99989665,0.9998956,0.9998903,0.99988806,0.9998907,0.99988604,0.999881,0.99989533,0.9998958,0.9999026,0.99990153,0.9998994,0.99990225,0.99990165,0.99990535,0.99989724,0.9998977,0.9998963,0.99989486,0.9998888,0.9998878,0.9998894,0.9998888,0.9998872,0.9998851,0.99988306,0.99986887,0.99985254,0.9998436,0.99983907,0.9998436,0.99984765,0.99984646,0.99985087,0.9998529,0.99985564,0.99984634,0.99983215,0.9998024,0.99980456,0.9997707,0.9997495,0.999724,0.99972934,0.99971205,0.99971277,0.9996743,0.99968517,0.99965847,0.9996232,0.99951506,0.99953926,0.99948263,0.9994899,0.9982141,0.9975605,0.9974757,0.9977229,0.99741036,0.99718094,0.9971527,0.99683017,0.9960872,0.9945188,0.9957353,0.99591726,0.997247,0.99751115,0.9972428,0.9975962,0.9971015,0.99691415,0.9976878,0.99696714,0.9973296,0.9972978,0.9973099,0.9969195,0.99628145,0.9963194,0.9967167,0.9976152,0.99753726,0.99809283,0.99815995
