explantion_name,ground_truth,original_prediction_i,img_i,trial_i,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Shap,7,7,0,0,0.99991655,0.9999064,0.99990094,0.99989986,0.99989617,0.9998747,0.9998658,0.9998698,0.99986804,0.99984455,0.99983084,0.9998325,0.9998203,0.9998248,0.99980587,0.9997812,0.9997707,0.99978334,0.9997793,0.99981076,0.9997278,0.99971324,0.99967885,0.9996325,0.9996319,0.999759,0.99975616,0.9997328,0.999724,0.9997588,0.9997662,0.99977094,0.99976593,0.999764,0.9997254,0.9996897,0.9996216,0.9995943,0.999605,0.99959856,0.99960166,0.9991462,0.9987986,0.9992461,0.99830353,0.9975815,0.9980751,0.99829155,0.99840575,0.99844736,0.9989404,0.9987937,0.998998,0.99775773,0.9970606,0.997619,0.9942649,0.99223125,0.99041957,0.9884969,0.9877665,0.95247215,0.947376,0.97747666,0.97202164,0.97087413,0.94738233,0.9517262,0.9580793,0.92262197,0.9124926,0.95577055,0.9040024,0.869132,0.8365026,0.8487476,0.42490742,0.55579686,0.17791891,0.17349559,0.03291693,0.0065117176,0.0037105682,0.003954774,0.003729035,0.0032910563,0.0057505686,0.021269528,0.026544865,0.016062845,0.01557602,0.019951666,0.010077737,0.011194406,0.0023181904,0.002029855,0.0020960032,0.0027473497,0.0027497332,0.0033452818,0.004617842
Shap,7,7,1,0,0.9998448,0.999846,0.99984074,0.9998134,0.99983025,0.9998337,0.99981374,0.9998056,0.9998004,0.99977165,0.9997085,0.99971086,0.99971706,0.99971193,0.99961084,0.9996747,0.99968743,0.99963427,0.9997137,0.99973994,0.9997298,0.999713,0.9995845,0.9996923,0.99968565,0.9996774,0.9996798,0.99947673,0.9992501,0.99910754,0.9992428,0.999188,0.99861586,0.99826765,0.99201477,0.98748183,0.98230976,0.97602874,0.9422099,0.96408635,0.916713,0.8857921,0.8496177,0.8356369,0.9220914,0.8374995,0.879064,0.9217364,0.91382027,0.95438486,0.7513549,0.46576554,0.527014,0.52144665,0.55124986,0.57520586,0.6510427,0.5517307,0.728154,0.75427264,0.5647941,0.5478668,0.7377477,0.62158847,0.5292116,0.48652875,0.5414999,0.44511244,0.3112717,0.26050743,0.29256877,0.27021277,0.3215018,0.31929252,0.14583476,0.11766557,0.054488506,0.060321864,0.06204514,0.018113835,0.007944359,0.008331038,0.008020157,0.0047196965,0.003420961,0.0016890343,0.0021007883,0.0029401984,0.0039035534,0.0025004758,0.003078457,0.0019941195,0.0019373212,0.0021218967,0.0022936843,0.0022443924,0.0014481071,0.0010225287,0.0012134558,0.0006115533,0.00064485264
Shap,7,7,2,0,0.9998871,0.9998859,0.9998845,0.99988556,0.99989974,0.99990094,0.99990535,0.999902,0.99989736,0.99989164,0.99988985,0.9998863,0.99988866,0.9998765,0.9998739,0.9998801,0.99986744,0.9998385,0.9998338,0.9998375,0.9998461,0.99985063,0.9998124,0.99981993,0.99982196,0.9998149,0.99982786,0.99984074,0.9998394,0.9998418,0.99984026,0.9998481,0.99985254,0.99985814,0.9998599,0.9998517,0.9998518,0.999863,0.9998752,0.9998698,0.9998802,0.9998739,0.9998659,0.99986684,0.9998653,0.9998652,0.999864,0.99985623,0.9998553,0.9998635,0.9998586,0.9998568,0.9998543,0.99985003,0.99984825,0.99982697,0.99980813,0.99982953,0.9998233,0.99982786,0.99981326,0.99981743,0.99980897,0.99980265,0.9998098,0.9998041,0.9998024,0.9997973,0.9997856,0.9997812,0.9997938,0.99978477,0.9997936,0.9997948,0.99980193,0.9997862,0.99977905,0.99979323,0.99978596,0.9997905,0.9997851,0.9997234,0.9996517,0.9996618,0.99969125,0.9996043,0.99967194,0.9996654,0.99969244,0.9997068,0.9997075,0.99969494,0.9997315,0.99975866,0.99970955,0.9996939,0.9993824,0.99938035,0.99918944,0.99943393,0.9995221
Shap,7,7,3,0,0.9998704,0.9998716,0.99986243,0.99986005,0.99985826,0.9998598,0.99986017,0.9998648,0.99986625,0.9998628,0.9998623,0.99986136,0.9998622,0.9998616,0.9998622,0.9998609,0.9998605,0.9998598,0.9998573,0.99985087,0.99983644,0.999813,0.9998192,0.9998172,0.9998105,0.99981254,0.99981123,0.9998087,0.9998068,0.99980646,0.9998054,0.99979323,0.9997844,0.99978596,0.9997869,0.9997769,0.99976665,0.9997532,0.9997594,0.99975663,0.99976164,0.9997646,0.9997706,0.9997323,0.99968874,0.9997377,0.9996978,0.9996823,0.9996532,0.9996388,0.99954057,0.99940693,0.9992956,0.9992287,0.99912435,0.9989711,0.9992242,0.9993273,0.99932194,0.9990808,0.999003,0.9989255,0.99874145,0.9984066,0.9979346,0.99833447,0.99756575,0.9970228,0.9936661,0.98770744,0.9821561,0.97593135,0.97035426,0.9496173,0.95128155,0.91035753,0.87944996,0.929412,0.9271973,0.91661865,0.9230918,0.8705826,0.90247285,0.92044693,0.9695451,0.9598319,0.79841334,0.74938184,0.10569562,0.25880975,0.20240957,0.122722335,0.16927664,0.19431971,0.13378614,0.22919346,0.094115876,0.035689555,0.0675979,0.060921602,0.023684796
Shap,7,7,4,0,0.9999051,0.9999068,0.99990964,0.99990904,0.9999114,0.9999044,0.9999001,0.99990225,0.9999069,0.9999069,0.9999052,0.9999025,0.99989545,0.9998876,0.9998778,0.9998771,0.9998667,0.99986064,0.99986255,0.99987006,0.999874,0.99986947,0.9998641,0.99987054,0.9998896,0.999925,0.99992704,0.9999254,0.99992704,0.99992776,0.9999291,0.9999292,0.99992764,0.9999281,0.99992836,0.99992824,0.9999268,0.9999238,0.9999248,0.99992645,0.99992347,0.9999268,0.999926,0.99992764,0.99992764,0.9999279,0.9999274,0.999925,0.9999244,0.9999225,0.99991846,0.99991715,0.99991703,0.99991655,0.99991715,0.9999113,0.99991024,0.9999087,0.99990857,0.9999093,0.9999131,0.9999069,0.99990964,0.9999095,0.99991095,0.99991286,0.99990976,0.9999043,0.9999068,0.99990726,0.99990046,0.9998995,0.99990034,0.99989116,0.99988437,0.9998667,0.9998621,0.9998437,0.9998423,0.999864,0.9998134,0.99979395,0.9995521,0.9994456,0.99962413,0.9995517,0.999668,0.99959415,0.99955255,0.9995098,0.9995389,0.99963665,0.9988136,0.999567,0.9985897,0.99880385,0.9991642,0.9996057,0.9994703,0.9994548,0.9997161
Shap,7,7,5,0,0.9999093,0.999913,0.99991095,0.99991,0.99989986,0.9999137,0.99991286,0.9998969,0.99987686,0.9998343,0.9998487,0.99986553,0.99986935,0.99987674,0.9998777,0.9998872,0.9998909,0.9998933,0.99988616,0.9998883,0.9998907,0.9998857,0.9998882,0.99988127,0.99988556,0.9998807,0.99988306,0.99987674,0.99986994,0.99986637,0.9998498,0.9998406,0.9998275,0.9998171,0.9998018,0.99984586,0.99983585,0.9998869,0.99988055,0.9998815,0.99987924,0.99985063,0.99985754,0.99983275,0.99984455,0.9998517,0.9998373,0.999835,0.99984527,0.9998149,0.9997975,0.99976665,0.99971193,0.9997203,0.9997706,0.99976295,0.99979335,0.9997979,0.9997764,0.9997732,0.99978155,0.9998124,0.99983835,0.9997937,0.99978524,0.99972373,0.9997149,0.9996928,0.99959475,0.99968374,0.99959606,0.99943084,0.9990729,0.9989819,0.99864036,0.9985038,0.99782383,0.99596596,0.9977174,0.99853194,0.99823964,0.99827707,0.99919873,0.9992299,0.9990139,0.9990584,0.99176496,0.9930633,0.9794062,0.9857759,0.98081255,0.9880294,0.9251196,0.9990152,0.9991316,0.999373,0.99930334,0.99934083,0.999371,0.9992926,0.9995136
Shap,7,7,6,0,0.9998921,0.9998945,0.99988604,0.99988914,0.99988484,0.99988425,0.99987996,0.9998797,0.9998876,0.999895,0.9999006,0.9999,0.99990785,0.99991155,0.9999174,0.99992037,0.99992144,0.99992406,0.9999261,0.9999244,0.99992085,0.9999192,0.99992025,0.9999187,0.9999207,0.9999225,0.9999188,0.9999229,0.99991894,0.999918,0.99991894,0.9999201,0.9999213,0.9999143,0.9999144,0.99990153,0.9999001,0.99990046,0.99990046,0.9999027,0.9998976,0.99990165,0.9999007,0.9999025,0.99990547,0.99990773,0.9999063,0.999905,0.9998987,0.99988914,0.9998715,0.99986684,0.99986684,0.99986565,0.9998653,0.99986565,0.999856,0.9997749,0.9997557,0.99973553,0.99970144,0.9997192,0.9997011,0.9997004,0.9994604,0.9995359,0.99954396,0.9984446,0.9991824,0.9990939,0.99909055,0.99918455,0.9992335,0.99930036,0.9991272,0.9989998,0.9972186,0.99641705,0.99722123,0.9956181,0.9970151,0.996756,0.996926,0.9984875,0.9977939,0.99776316,0.9980202,0.9979249,0.9986927,0.99843293,0.9985837,0.99852186,0.998637,0.9987317,0.9986866,0.99909055,0.9991272,0.9990957,0.99869764,0.99838364,0.9994172
Shap,7,7,7,0,0.9998435,0.9998305,0.99982435,0.9998387,0.9998313,0.9998264,0.99985814,0.99985874,0.99985003,0.99985886,0.9998615,0.99986386,0.9998808,0.9998791,0.99988055,0.99989116,0.99989295,0.9998925,0.9998913,0.99989843,0.9998969,0.99989545,0.9998944,0.9998876,0.9998884,0.9999,0.99989855,0.9998994,0.99990094,0.9998987,0.99989307,0.9998976,0.9998971,0.9998945,0.99989486,0.9998908,0.9998914,0.9998939,0.9998938,0.9998965,0.9998971,0.9998995,0.9999006,0.99990165,0.99990404,0.9999033,0.9998964,0.99989486,0.9998977,0.9998913,0.999889,0.9998883,0.99988675,0.9998826,0.99988556,0.9998863,0.99987805,0.9998734,0.9998641,0.9998629,0.9998654,0.99986553,0.9998653,0.9998542,0.99984753,0.999845,0.999833,0.999835,0.9998159,0.99981004,0.9998092,0.9998072,0.99977,0.9997918,0.99978894,0.9997751,0.99976057,0.99971956,0.99970955,0.9996966,0.99966586,0.9996679,0.99965966,0.9996729,0.9996575,0.99962604,0.99962556,0.9995617,0.9995859,0.99943525,0.99927396,0.9992643,0.999288,0.99940383,0.9993703,0.99944204,0.99928075,0.999584,0.99879754,0.9991321,0.9991985
Shap,7,7,8,0,0.9998597,0.99984705,0.9998332,0.9998375,0.9998313,0.99982315,0.999846,0.9998474,0.99984205,0.99983394,0.9998202,0.9998216,0.99982685,0.99982554,0.99982375,0.9998235,0.99983084,0.9998266,0.99982256,0.99982446,0.99980503,0.9998167,0.9998203,0.99981874,0.9997936,0.9998361,0.99984396,0.99984384,0.9998466,0.9998512,0.99984944,0.99984825,0.9998497,0.99984443,0.9998424,0.9998491,0.9998561,0.99987197,0.9998734,0.9998673,0.99987006,0.9998683,0.99986684,0.99987173,0.9998704,0.9998661,0.9998667,0.9998708,0.9998671,0.9998653,0.9998661,0.9998709,0.99987257,0.9998586,0.99984324,0.99984217,0.99984026,0.9998349,0.9998209,0.9998068,0.9998023,0.99967873,0.99965096,0.9996132,0.9994634,0.99946266,0.99951065,0.999265,0.99858296,0.99888474,0.9990687,0.9983108,0.9984289,0.98908323,0.9911142,0.99489474,0.9985642,0.9983181,0.99934584,0.99905676,0.99891746,0.99871695,0.9967096,0.9965313,0.99679476,0.99614966,0.99458426,0.99548596,0.9915172,0.99088216,0.983916,0.9854445,0.9655347,0.80077857,0.7877779,0.83277166,0.9770756,0.9793742,0.96936595,0.9778246,0.9429091
Shap,7,7,9,0,0.9999211,0.99991727,0.9999174,0.9999174,0.9999201,0.9999194,0.99992085,0.9999198,0.9999256,0.99992204,0.99992037,0.99991083,0.9999101,0.9999082,0.99990165,0.9999008,0.99989665,0.9998987,0.9999013,0.99989736,0.99990344,0.99990666,0.999899,0.9998987,0.99990356,0.99989855,0.9999007,0.9998994,0.99987364,0.999877,0.99985087,0.9998435,0.99980193,0.99980515,0.9998159,0.9998155,0.99982303,0.9998192,0.9998072,0.99979573,0.9997999,0.9997631,0.9995907,0.9993223,0.99935085,0.99930704,0.99913824,0.99919933,0.9990854,0.9988691,0.9987627,0.99813867,0.9979235,0.99892956,0.9985661,0.9963672,0.99479866,0.98980695,0.98915476,0.9869494,0.98887026,0.99263906,0.9926407,0.99656844,0.9935011,0.99096465,0.99258703,0.9912163,0.9873059,0.983739,0.9813762,0.98135906,0.98134375,0.9777414,0.9806008,0.9712648,0.97808653,0.99073887,0.9823293,0.980613,0.9755687,0.9725107,0.97624093,0.9684863,0.954908,0.95956594,0.9636046,0.9433986,0.9234554,0.90707886,0.8296885,0.8585408,0.8710356,0.929631,0.9044755,0.8615401,0.8771275,0.8527404,0.8240205,0.72808117,0.7419183
